Course,Course_link,Credential,Length,Area of Interest,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams,TOEFL
Supply Chain Management - Global (Co-op and Non Co-op Version),https://www.algonquincollege.com/business/program/supply-chain-management-global/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
Bachelor of Technology (Business Systems Development) (Honours)(Co-op) - Pathway from Computer Programming and Computer Engineering Technology – Computing Science,https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development-honours-pathway-computer-programming-and-computer-engineering-technology-computing-science/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Technology (Business Systems Development) (Honours)(Co-op),https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Technology (Digital Health) (Honours) (Co-op),https://www.algonquincollege.com/sat/program/bachelor-of-technology-digital-health/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Technology (Digital Health) (Honours) (Co-op) Pathway for Computer Programming and Computer Engineering Technology - Computing Science,https://www.algonquincollege.com/sat/program/bachelor-of-technology-digital-health-pathway-for-computer-programming-and-computer-engineering-technology-computing-science/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Teachers and Trainers of Adults,https://www.algonquincollege.com/online/program-info/teachers-and-trainers-of-adults-part-time/,College-approved Certificate,Part-time\nOnline,Community and Social Services,6,105,53,60,169,80
Teachers of English as a Second/Foreign Language,https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-second-foreign-language/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6.5,115,60,70,176,88
Teachers of English as a Second/Foreign Language,https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-second-foreign-language-part-time/,Ontario College Graduate Certificate,Part-time\nOn Campus,Community and Social Services,6.5,115,60,70,176,88
Teaching Adult Lifelong Learners,https://www.algonquincollege.com/healthandcommunity/program/teaching-adult-lifelong-learners-part-time/,College Certificate,Part-time\nOn Campus,Community and Social Services,6,105,53,60,169,80
Technical Writer (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/technical-writer/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6.5,115,60,70,176,88
Technical Writer,https://www.algonquincollege.com/online/program-info/technical-writer/,Ontario College Graduate Certificate,Full-time\nOnline,Media and Communications,6.5,115,60,70,176,88
Technical Writer,https://www.algonquincollege.com/online/program-info/technical-writer-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Media and Communications,6.5,115,60,70,176,88
Therapeutic Recreation,https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Therapeutic Recreation,https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation-part-time/,Ontario College Graduate Certificate,Part-time\nOn Campus,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Tourism - Travel Services,https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Trades Entrepreneurship,https://www.algonquincollege.com/online/program-info/trades-entrepreneurship-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Trades Leadership,https://www.algonquincollege.com/online/program-info/trades-leadership-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Trades Management,https://www.algonquincollege.com/online/program-info/trades-management-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Urban Forestry - Arboriculture,https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Environmental and Applied Sciences,6,105,53,60,169,80
Veterinary Assistant,https://www.algonquincollege.com/healthandcommunity/program/veterinary-assistant/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Veterinary Technician,https://www.algonquincollege.com/healthandcommunity/program/veterinary-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Victimology,https://www.algonquincollege.com/ppsi/program/victimology/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Public Safety and Legal Studies,6.5,115,60,70,176,88
Victimology,https://www.algonquincollege.com/online/program-info/victimology-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Public Safety and Legal Studies,6.5,115,60,70,176,88
Water and Wastewater Technician,https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Environmental and Applied Sciences,6,105,53,60,169,80
Web Development and Internet Applications (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/internet-applications-web-development/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Web Development and Internet Applications,https://www.algonquincollege.com/international/program/web-development-and-internet-applications-mississauga,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Web Development and Internet Applications,https://www.algonquincollege.com/online/program-info/web-development-and-internet-applications/,Ontario College Diploma,Full-time\nOnline,Advanced Technology,6,105,53,60,169,80
Web Development and Internet Applications,https://www.algonquincollege.com/online/program-info/web-development-and-internet-applications-part-time/,Ontario College Diploma,Part-time\nOnline,Advanced Technology,6,105,53,60,169,80
Welding and Fabrication Techniques,https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques/,Ontario College Certificate,Full-time\nOn Campus\n42 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Welding Techniques - Sheet Metal Worker Apprenticeship,https://www.algonquincollege.com/acce/program/welding-techniques-sheet-metal-worker-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Wine Appreciation (Formerly Sommelier Fundamentals),https://www.algonquincollege.com/hospitalityandtourism/program/wine-appreciation-part-time/,College Certificate,Part-time\nOn Campus,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Woodworking Techniques,https://www.algonquincollege.com/acce/program/woodworking-techniques-part-time/,College Certificate,Part-time\nOn Campus,Construction and Skilled Trades,6,105,53,60,169,80
Working with Dementia Clients - Multidiscipline,https://www.algonquincollege.com/online/program-info/working-with-dementia-clients-multidiscipline-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Health Sciences,6.5,115,60,70,176,88
Working with the Terminally Ill - Multidiscipline,https://www.algonquincollege.com/future-students/programs/,Ontario College Graduate Certificate,Part-time\nOn Campus,Health Sciences,6.5,115,60,70,176,88
